01.29.38	 : ::1 	 Sorgu Yapıldı : SELECT * FROM high_users  LIMIT 1 FROM : BlogTest
01.29.38	 : ::1 	 Sorgu Yapıldı : SELECT high_posts.PostId,high_posts.PostUserId,high_posts.PostTitle,high_posts.Post,high_posts.PostDate,high_posts.PostTime FROM high_posts WHERE  high_posts.PostTitle LIKE '%%' AND high_posts.PostId!='0' AND high_posts.CategoryId!='-1' AND high_posts.PostUserId!='-1' ORDER BY high_posts.PostId DESC LIMIT 0,5 FROM : BlogTest
01.29.38	 : ::1 	 Sorgu Yapıldı : SELECT * FROM high_categories   FROM : BlogTest
01.29.39	 : ::1 	 Sorgu Yapıldı : SELECT high_posts.PostId,high_posts.PostUserId,high_posts.PostTitle,high_posts.Post,high_posts.PostDate,high_posts.PostTime FROM high_posts WHERE  high_posts.PostTitle LIKE '%%' AND high_posts.PostId!='0' AND high_posts.CategoryId!='-1' AND high_posts.PostUserId!='-1' ORDER BY high_posts.PostId DESC FROM : BlogTest
01.29.42	 : ::1 	 Sorgu Yapıldı : SELECT * FROM high_users  LIMIT 1 FROM : BlogTest/3
01.29.42	 : ::1 	 Sorgu Yapıldı : SELECT high_posts.PostId,high_posts.PostUserId,high_posts.PostTitle,high_posts.Post,high_posts.PostDate,high_posts.PostTime FROM high_posts WHERE  high_posts.PostTitle LIKE '%%' AND high_posts.PostId!='0' AND high_posts.CategoryId!='-1' AND high_posts.PostUserId!='-1' ORDER BY high_posts.PostId DESC LIMIT 15,5 FROM : BlogTest/3
01.29.42	 : ::1 	 Sorgu Yapıldı : SELECT * FROM high_categories   FROM : BlogTest/3
01.29.42	 : ::1 	 Sorgu Yapıldı : SELECT high_posts.PostId,high_posts.PostUserId,high_posts.PostTitle,high_posts.Post,high_posts.PostDate,high_posts.PostTime FROM high_posts WHERE  high_posts.PostTitle LIKE '%%' AND high_posts.PostId!='0' AND high_posts.CategoryId!='-1' AND high_posts.PostUserId!='-1' ORDER BY high_posts.PostId DESC FROM : BlogTest/3
01.29.43	 : ::1 	 Sorgu Yapıldı : SELECT high_posts.PostId,high_posts.PostUserId,high_posts.PostTitle,high_posts.Post,high_posts.PostDate,high_posts.PostTime FROM high_posts WHERE  high_posts.PostTitle LIKE '%%' AND high_posts.PostId='6' AND high_posts.CategoryId!='-1' AND high_posts.PostUserId!='-1' ORDER BY high_posts.PostId DESC FROM : BlogTest/PostDetail/6
01.29.43	 : ::1 	 Sorgu Yapıldı : SELECT * FROM high_post_images WHERE PostId='6'  FROM : BlogTest/PostDetail/6
01.29.43	 : ::1 	 Sorgu Yapıldı : SELECT * FROM high_post_tags WHERE PostId='6'  FROM : BlogTest/PostDetail/6
01.29.45	 : ::1 	 Sorgu Yapıldı : SELECT * FROM high_users  LIMIT 1 FROM : BlogTest/3
01.29.45	 : ::1 	 Sorgu Yapıldı : SELECT high_posts.PostId,high_posts.PostUserId,high_posts.PostTitle,high_posts.Post,high_posts.PostDate,high_posts.PostTime FROM high_posts WHERE  high_posts.PostTitle LIKE '%%' AND high_posts.PostId!='0' AND high_posts.CategoryId!='-1' AND high_posts.PostUserId!='-1' ORDER BY high_posts.PostId DESC LIMIT 15,5 FROM : BlogTest/3
